1.18,36.3
1.38,54.7
1.58,68.1
1.78,79.9
1.97,94.3
2.17,106.6
2.37,120.0
2.56,133.1
2.76,146.5
2.96,160.3
3.16,173.7
3.35,187.6
3.55,199.1
3.75,211.8
3.94,224.7
4.14,237.2
4.34,250.4
4.54,262.4
4.73,274.7
4.93,287.3
5.13,299.7
5.33,311.8
5.52,324.3
5.72,336.4
5.92,349.0
6.11,361.6
6.31,374.1
6.51,386.2
6.71,397.8
6.9,410.0
7.1,420.8
7.3,432.1
7.5,445.3
7.69,456.5
7.89,469.2
8.09,479.9
8.28,491.1
8.48,502.2
8.68,514.1
8.88,526.6
9.07,537.2
9.27,549.2
9.47,560.4
9.67,571.7
9.86,582.9
